feature,rf_importance,shap_importance
cis_mean,0.49165706553164784,0.32965355243656985
enrol_per_day,0.20331844657417597,0.05503890492568026
relative_to_state,0.09960190962511582,0.030031555072755296
enrol_volatility,0.0462028346181598,0.01191140075519992
enrol_mean,0.04246520633503526,0.012986361177614062
child_enrol_mean,0.03253604183125576,0.014587386157558307
child_proportion,0.02208248428821727,0.009176586365392704
momentum,0.021889554245562368,0.005817511241470447
num_pincodes,0.01324115822303486,0.00860220602033843
update_lag,0.012666861735703654,0.006224470264097479
adult_child_ratio,0.006725736976858886,0.0016744479961502492
coverage_gap,0.005551557749375361,0.0023861324655416534
negative_momentum_flag,0.0016379785634490999,0.0009071089450196165
zero_cis_flag,0.00042316370240822203,0.00022633566489141632
